reference_id,ref_hotel_name,hotel_id,hotel_name,room_name
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,2 Twin Beds,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,1 Queen Bed,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,2 Twin Beds,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,1 Queen Bed,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,2 Twin Beds,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room with Extra Bed,2 Twin Beds,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Superior Room,1 Queen Bed,NonSmoking"
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Superior Room,2 Twin Beds,NonSmoking"
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Guestroom Sea View,1 Double Bed,NonSmoking"
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Bungalow Sea View 1st Floor,1 Double Bed and 1 Twin Sofa Bed,NonSmoking"
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Bungalow Sea View 1st Floor,1 Double Bed and 1 Twin Sofa Bed,NonSmoking"
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Guestroom Sea View,1 Double Bed,NonSmoking"
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Bungalow Sea View 1st Floor,1 Double Bed and 1 Twin Sofa Bed,NonSmoking"
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Panoramic Guestroom Sea View
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Panoramic Guestroom Sea View
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Achilleion Woodland View Grand Room - Twin,2 Twin Beds,NonSmoking"
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Achilleion Woodland View Grand Room - Twin,2 Twin Beds,NonSmoking"
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Achilleion Woodland View Grand Room - Twin,2 Twin Beds,NonSmoking"
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Benitses Bay View Grand Room,1 King Bed,NonSmoking"
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Ionian Sea View One Bedroom Suite,1 King Bed and 1 King Sofa Bed,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Retreat,1 Queen Bed,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Retreat,2 Twin Beds,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Mezzanine,1 Queen Bed,NonSmoking"
