reference_id,ref_hotel_name,hotel_id,hotel_name,room_name,main_name,bedrooms_count,room_capacity,room_quality,room_quality_category,room_class,bedding_type,bedding_config,balcony,family_room,club_room,room_view,room_area_m2,room_area_sqft
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,1 Queen Bed,NonSmoking",Standard Room,,,standard,entry,room,1 queen bed,queen,,,,,,
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room,2 Twin Beds,NonSmoking",Standard Room,,,standard,entry,room,2 twin beds,twins,,,,,,
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Standard Room with Extra Bed,2 Twin Beds,NonSmoking",Standard Room with Extra Bed,,,standard,entry,room,2 twin beds,twins,,,,,,
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Superior Room,1 Queen Bed,NonSmoking",Superior Room,,,superior,enhanced,room,1 queen bed,queen,,,,,,
10,"The Stanley, Ateny",1144520,"The Stanley, Ateny","Superior Room,2 Twin Beds,NonSmoking",Superior Room,,,superior,enhanced,room,2 twin beds,twins,,,,,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Guestroom Sea View,1 Double Bed,NonSmoking",Deluxe Guestroom Sea View,,,deluxe,high,room,1 double bed,double,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Bungalow Sea View 1st Floor,1 Double Bed and 1 Twin Sofa Bed,NonSmoking",Deluxe Bungalow Sea View 1st Floor,,,deluxe,high,bungalow,1 double bed,double,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Bungalow Sea View 1st Floor,1 Double Bed and 1 Twin Sofa Bed,NonSmoking",Deluxe Bungalow Sea View 1st Floor,,,deluxe,high,bungalow,1 double bed,double,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Guestroom Sea View,1 Double Bed,NonSmoking",Deluxe Guestroom Sea View,,,deluxe,high,room,1 double bed,double,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,"Deluxe Bungalow Sea View 1st Floor,1 Double Bed and 1 Twin Sofa Bed,NonSmoking",Deluxe Bungalow Sea View 1st Floor,,,deluxe,high,bungalow,1 double bed,double,,,,sea_view,,
